Pilot Flying,Pilot Not Flying
,Position center tank fuel pump switches OFF when both pump LOW PRESSURE lights illuminate.
Check and set VREF and approach speeds as required.,Check and set VREF and approach speeds as required.
,Set anti–ice as required.
,Verify pressurization set for destination airport elevation and system operating normally.
Set AUTO BRAKE select switch to desired brake setting.,Set AUTO BRAKE select switch to desired brake setting.
Set and crosscheck altimeters at transition level.,Set and crosscheck altimeters at transition level.
Set and crosscheck course selection and RADIO/BARO minimums as required for approach.,Set and crosscheck course selection and RADIO/BARO minimums as required for approach.
Set and verify ADF and VHF NAV radios for approach.,Set and verify ADF and VHF NAV radios for approach
,"Position fixed landing lights ON passing through 10,000 feet."
Call “DESCENT–APPROACH CHECKLIST.”,Accomplish the DESCENT–APPROACH checklist.
Call “FLAPS __” according to flap speed schedule.,"Position FLAP lever as directed and monitor flap and slat extension.
Accomplish standard callouts."
Approaching selected FMC altitude verify level off and mode annunciation.,Approaching selected FMC altitude verify level off and mode annunciation.
