AIR_DIST_NM,35,40,45,50,55,60,65,70
200,1.5,1.5,1.6,1.7,1.7,1.8,1.9,2.0
300,2.1,2.1,2.2,2.3,2.4,2.5,2.6,2.8
400,2.7,2.7,2.9,3.0,3.1,3.3,3.4,3.6
500,3.3,3.3,3.5,3.7,3.8,4.0,4.2,4.4
600,3.9,4.0,4.2,4.4,4.6,4.7,5.0,5.2
700,4.5,4.6,4.8,5.0,5.3,5.5,5.7,6.0
800,5.2,5.2,5.4,5.7,6.0,6.2,6.5,6.7
900,5.8,5.8,6.1,6.4,6.6,6.9,7.2,7.5
1000,6.4,6.4,6.7,7.0,7.3,7.6,7.9,8.3
1100,7.0,7.0,7.3,7.6,8.0,8.3,8.7,9.0
1200,7.6,7.6,7.9,8.3,8.7,9.0,9.4,9.8
1300,8.2,8.3,8.5,8.9,9.3,9.7,10.1,10.6
1400,8.8,8.9,9.1,9.6,10.0,10.4,10.9,11.3
1500,9.5,9.5,9.8,10.2,10.7,11.1,11.6,12.0
1600,10.1,10.1,10.4,10.9,11.3,11.8,12.3,12.8
1700,10.7,10.7,11.0,11.5,12.0,12.5,13.0,13.5
1800,11.3,11.3,11.6,12.1,12.6,13.2,13.7,14.3
