Obstacle Height (M),25,30,35,40,45,50,55,60,65,70
5,67.8,70.8,,69.8,71.1,,,,,
20,61.6,65.4,68.0,69.1,71.1,68.5,69.6,71.2,71.8,
40,56.6,60.3,63.2,65.5,67.2,68.5,70.5,71.2,71.8,
60,52.8,56.6,59.6,62.0,63.9,66.5,67.8,68.7,69.5,70.1
80,49.7,53.6,56.6,59.1,62.8,64.3,66.5,66.5,67.4,68.1
100,47.1,50.9,54.0,56.6,58.7,60.5,62.0,63.4,64.5,66.3
120,44.8,48.6,51.8,54.4,56.6,58.0,61.4,62.6,63.7,64.6
140,42.8,46.6,49.7,52.4,56.5,58.5,59.0,60.2,62.0,63.0
160,41.0,44.8,47.9,50.6,52.9,54.8,56.5,59.3,60.5,61.5
180,39.4,43.1,46.3,51.2,53.2,53.5,57.5,59.0,60.1,61.0
200,41.6,44.7,47.4,49.7,51.7,53.5,56.7,57.7,59.7,60.7
220,40.2,43.3,46.0,48.3,50.4,52.1,55.2,56.4,58.2,57.6
240,39.0,42.0,44.7,47.0,49.1,50.9,55.2,53.9,55.2,56.4
260,40.2,41.3,43.5,45.8,47.8,51.3,52.8,52.8,54.1,55.3
280,39.7,42.3,44.6,47.3,48.5,51.5,53.0,57.1,53.0,54.2
300,41.3,43.5,46.5,45.6,47.4,49.1,50.6,52.0,50.0,53.2
