SLOPE_CORR'D_FIELD_LENGTH_M,-15,-10,-5,0,10,20,30,40
1200,830,960,1080,1200,1280,1370,1450,1550
1400,1000,1130,1270,1400,1490,1580,1680,1800
1600,1170,1310,1460,1600,1690,1790,1900,2000
1800,1340,1490,1650,1800,1900,2010,2120,2230
2000,1510,1670,1840,2000,2110,2220,2340,2460
2200,1680,1850,2030,2200,2310,2430,2560,2690
2400,1850,2030,2220,2400,2520,2640,2780,2920
2600,2020,2210,2410,2600,2720,2860,3000,3140
2800,2190,2390,2600,2800,2930,3070,3220,3370
3000,2360,2570,2790,3000,3130,3280,3440,3600
3200,2520,2750,2970,3200,3340,3490,3660,3830
3400,2690,2930,3160,3400,3550,3710,3880,4060
3600,2860,3110,3350,3600,3750,3920,4100,4290
3800,3030,3290,3540,3800,3960,4130,4320,4520
4000,3200,3470,3730,4000,4170,4350,4540,4740
4200,3370,3650,3920,4200,4370,4560,4760,4970
4400,3540,3830,4110,4400,4580,4770,4980,5200
4600,3710,4010,4300,4600,4780,4980,5190,5430
4800,3880,4190,4490,4800,4990,5200,5420,5660
5000,4050,4360,4680,5000,5200,5410,5640,5890
