CORR'D FIELD LENGTH (M),OAT_C_-40,OAT_C_14,OAT_C_18,OAT_C_22,OAT_C_24,OAT_C_26,OAT_C_28,OAT_C_30,OAT_C_42,OAT_C_46,OAT_C_50
1450,63.3,57.7,57.3,56.9,56.7,56.5,56.3,56.1,51.7,50.3,49.0
1600,66.4,60.5,60.1,59.7,59.5,59.3,59.1,58.9,54.1,52.8,51.3
1800,70.4,64.0,63.6,63.2,63.0,62.7,62.5,62.3,57.3,55.9,54.4
2000,72.5,67.8,67.3,66.8,66.6,66.4,66.2,65.9,60.7,59.1,57.5
2200,72.5,70.7,70.2,69.7,69.5,69.3,69.0,68.8,63.2,61.6,60.0
2400,72.5,72.5,72.5,72.5,72.3,72.0,71.8,71.5,65.7,64.0,62.3
2600,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,68.3,66.6,64.7
2800,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,70.7,68.9,67.0
3000,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,71.0,69.1,69.1
3200,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,71.1
3400,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
3600,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
3800,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
4000,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
4200,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
4400,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
4600,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
4800,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
CLIMB LIMIT WT (1000 KG),68.8,68.2,68.1,68.1,68.0,67.9,67.9,67.8,60.4,58.1,55.8
