AirDist_NM,Time,Fuel_30,Alt_30,Fuel_35,Alt_35,Fuel_40,Alt_40,Fuel_45,Alt_45,Fuel_50,Alt_50,Fuel_55,Alt_55,Fuel_60,Alt_60
50,0:14,0.5,17000,0.5,15000,0.5,9000,0.5,7000,0.6,5000,0.6,5000,0.7,5000
100,0:22,0.7,25000,0.8,23000,0.8,21000,0.9,19000,0.9,15000,1.0,13000,1.0,11000
150,0:30,0.9,31000,1.0,29000,1.0,27000,1.1,25000,1.2,23000,1.2,21000,1.3,20000
200,0:37,1.1,39000,1.2,37000,1.3,35000,1.4,31000,1.4,29000,1.5,27000,1.6,25000
250,0:43,1.3,41000,1.4,41000,1.5,40000,1.6,37000,1.7,35000,1.8,33000,1.9,31000
300,0:50,1.4,41000,1.6,41000,1.7,40000,1.8,37000,1.9,35000,2.0,33000,2.1,33000
350,0:57,1.6,41000,1.7,41000,1.9,41000,2.0,41000,2.1,37000,2.2,35000,2.4,33000
400,1:03,1.8,41000,1.9,41000,2.0,41000,2.2,39000,2.3,37000,2.5,35000,2.6,33000
450,1:10,1.9,41000,2.1,41000,2.2,41000,2.4,39000,2.5,37000,2.7,35000,2.9,33000
500,1:18,2.0,41000,2.2,41000,2.4,41000,2.6,39000,2.8,37000,2.9,35000,3.1,33000
