SLOPE CORR'D FIELD LENGTH (M),-15,-10,-5,0,10,20,30,40
1200,850,970,1080,1200,1270,1350,1420,1500
1400,1030,1150,1280,1400,1480,1560,1640,1720
1600,1210,1340,1470,1600,1680,1760,1850,1940
1800,1380,1520,1660,1800,1880,1970,2060,2160
2000,1560,1710,1850,2000,2090,2180,2280,2380
2200,1740,1890,2050,2200,2290,2380,2490,2610
2400,1910,2080,2240,2400,2490,2590,2700,2830
2600,2090,2260,2430,2600,2690,2800,2920,3050
2800,2270,2450,2620,2800,2900,3010,3130,3270
3000,2450,2630,2800,3000,3100,3230,3350,3490
3200,2620,2820,3010,3200,3300,3420,3560,3720
3400,2800,3000,3200,3400,3500,3630,3770,3940
3600,2980,3180,3390,3600,3710,3840,3990,4160
3800,3150,3370,3580,3800,3910,4040,4200,4380
4000,3330,3550,3780,4000,4110,4250,4420,4600
4200,3510,3740,3970,4200,4320,4460,4630,4820
4400,3690,3920,4160,4400,4520,4670,4840,5050
4600,3860,4110,4350,4600,4730,4870,5060,5270
4800,4040,4290,4550,4800,4920,5080,5270,5490
5000,4220,4480,4740,5000,5130,5290,5480,5710
